  
       XFOIL         Version 6.99
  
 Calculated polar for: Smoothed ATR airfoil coordinates obtained  using
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.260 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2979   0.00921   0.00314  -0.0344   0.6881   0.0482
  -4.500  -0.2470   0.00914   0.00290  -0.0330   0.6316   0.0538
  -4.000  -0.1959   0.00904   0.00265  -0.0318   0.5809   0.0599
  -3.500  -0.1438   0.00897   0.00243  -0.0307   0.5337   0.0666
  -3.000  -0.0937   0.00906   0.00226  -0.0293   0.4495   0.0766
  -2.500  -0.0435   0.00910   0.00215  -0.0281   0.3871   0.0989
  -2.000   0.0085   0.00898   0.00205  -0.0271   0.3578   0.1355
  -1.500   0.0609   0.00881   0.00196  -0.0262   0.3392   0.1848
  -1.000   0.1113   0.00839   0.00185  -0.0251   0.3258   0.2931
  -0.500   0.1579   0.00770   0.00177  -0.0233   0.3140   0.4950
   0.000   0.2063   0.00737   0.00179  -0.0216   0.3026   0.6310
   0.500   0.2582   0.00722   0.00183  -0.0205   0.2955   0.7089
   1.000   0.3083   0.00715   0.00192  -0.0189   0.2859   0.7796
   1.500   0.3580   0.00705   0.00208  -0.0171   0.2801   0.8664
   2.000   0.4100   0.00721   0.00225  -0.0158   0.2729   0.9044
   2.500   0.4618   0.00739   0.00244  -0.0145   0.2669   0.9292
   3.000   0.5131   0.00756   0.00260  -0.0130   0.2612   0.9483
   3.500   0.5664   0.00781   0.00278  -0.0123   0.2541   0.9591
   4.000   0.6214   0.00799   0.00295  -0.0118   0.2502   0.9695
   4.500   0.6890   0.00825   0.00317  -0.0142   0.2447   0.9761
   5.000   0.7553   0.00864   0.00348  -0.0164   0.2372   0.9824
   5.500   0.8263   0.00885   0.00369  -0.0197   0.2339   0.9841
   6.000   0.8941   0.00911   0.00392  -0.0224   0.2287   0.9864
   6.500   0.9578   0.00951   0.00426  -0.0243   0.2220   0.9898
   7.000   1.0195   0.00972   0.00450  -0.0257   0.2190   0.9932
   7.500   1.0862   0.00999   0.00477  -0.0283   0.2143   0.9954
   8.000   1.1497   0.01043   0.00516  -0.0305   0.2076   0.9981
   8.500   1.2131   0.01068   0.00546  -0.0324   0.2046   1.0000
   9.000   1.2482   0.01094   0.00574  -0.0286   0.2007   1.0000
   9.500   1.2796   0.01129   0.00609  -0.0241   0.1959   1.0000
  10.000   1.3145   0.01166   0.00649  -0.0203   0.1918   1.0000
  10.500   1.3549   0.01196   0.00684  -0.0176   0.1880   1.0000
  11.000   1.3927   0.01240   0.00729  -0.0146   0.1831   1.0000
  11.500   1.4256   0.01289   0.00782  -0.0108   0.1783   1.0000
  12.000   1.4615   0.01328   0.00828  -0.0075   0.1745   1.0000
  12.500   1.4945   0.01388   0.00889  -0.0041   0.1688   1.0000
  13.000   1.5297   0.01448   0.00954  -0.0013   0.1626   1.0000
  13.500   1.5601   0.01536   0.01040   0.0019   0.1532   1.0000
  14.000   1.5938   0.01614   0.01124   0.0045   0.1460   1.0000
  14.500   1.6220   0.01726   0.01238   0.0074   0.1380   1.0000
  15.000   1.6472   0.01864   0.01378   0.0103   0.1294   1.0000
  15.500   1.6698   0.02027   0.01544   0.0130   0.1199   1.0000
  16.000   1.6893   0.02225   0.01746   0.0155   0.1115   1.0000
  16.500   1.7001   0.02507   0.02031   0.0178   0.1007   1.0000
  17.000   1.7053   0.02864   0.02392   0.0196   0.0913   1.0000
  17.500   1.7019   0.03340   0.02876   0.0205   0.0824   1.0000
  18.000   1.6891   0.03967   0.03513   0.0203   0.0751   1.0000
  18.500   1.6662   0.04765   0.04327   0.0188   0.0687   1.0000
  19.000   1.6260   0.05825   0.05406   0.0160   0.0642   1.0000
  19.500   1.5701   0.07154   0.06761   0.0117   0.0614   1.0000
  20.000   1.4970   0.08740   0.08372   0.0063   0.0595   1.0000
